Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.43231291866
FDW14,OUT017,1467.1630529801325
NCN55,OUT010,542.9755395973153
FDQ58,OUT017,2384.0151261682245
FDY38,OUT027,5669.163351428566
FDH56,OUT046,1874.430959859155
FDL48,OUT018,754.5960957264957
FDC48,OUT027,2513.0798546666674
FDN33,OUT045,1554.007075641026
FDA36,OUT017,3087.5075112820514
FDT44,OUT017,1874.430959859155
FDQ56,OUT045,1467.1630529801325
NCC54,OUT019,542.9755395973153
FDU11,OUT049,2054.215706620209
DRL59,OUT013,754.5960957264957
FDM24,OUT049,2384.0151261682245
FDI57,OUT045,2880.9695613636354
DRC12,OUT018,2880.9695613636354
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973153
FDA31,OUT013,2736.9684298755183
NCJ31,OUT035,3593.1412351254503
FDG52,OUT046,754.5960957264957
NCL19,OUT019,286.4177705128206
FDS10,OUT035,2880.9695613636354
FDX22,OUT010,542.9755395973153
NCF19,OUT035,754.5960957264957
NCE06,OUT046,2384.0151261682245
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.430959859155
NCR42,OUT019,130.33349056603768
FDX51,OUT018,3087.5075112820514
NCR06,OUT018,637.5735090128758
FDU31,OUT027,5669.163351428566
FDU59,OUT017,2384.0151261682245
FDR03,OUT027,5669.163351428566
FDS49,OUT027,2513.0798546666674
FDD48,OUT010,286.4177705128206
NCF18,OUT017,2880.9695613636354
NCD43,OUT027,2513.0798546666674
NCD54,OUT018,1936.5082478260852
FDY19,OUT010,286.4177705128206
NCY54,OUT017,2997.407679041917
NCL19,OUT018,2346.6487869387724
FDP23,OUT010,542.9755395973153
FDC26,OUT013,1722.3316111731856
FDR14,OUT010,130.33349056603768
NCS41,OUT035,3389.2269793548367
FDF41,OUT035,3593.1412351254503
FDU34,OUT046,2054.215706620209
DRH11,OUT046,876.3205797979805
FDM03,OUT013,1722.3316111731856
FDS31,OUT017,3389.2269793548367
FDJ20,OUT017,2054.215706620209
FDV44,OUT027,5669.163351428566
FDG02,OUT049,3087.5075112820514
FDA09,OUT013,2736.9684298755183
FDT04,OUT013,637.5735090128758
FDL58,OUT019,542.9755395973153
FDE52,OUT045,1333.2154270916328
FDW12,OUT035,2384.0151261682245
FDL51,OUT017,3753.0000993630556
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1554.007075641026
FDN40,OUT045,2384.0151261682245
FDB35,OUT027,2513.0798546666674
FDA22,OUT017,2384.0151261682245
NCL06,OUT046,4311.57625131579
FDI35,OUT013,3389.2269793548367
NCW42,OUT045,3753.0000993630556
NCX06,OUT049,2736.9684298755183
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,1936.5082478260852
DRG49,OUT049,3593.1412351254503
NCG06,OUT045,4131.978437869822
DRC36,OUT045,2997.407679041917
FDV21,OUT019,286.4177705128206
FDB53,OUT046,2539.3942358778604
DRP47,OUT019,542.9755395973153
FDA14,OUT013,2346.6487869387724
DRC24,OUT035,2539.3942358778604
FDW21,OUT018,1509.43231291866
NCH29,OUT046,1554.007075641026
FDU58,OUT013,3087.5075112820514
FDY27,OUT017,2736.9684298755183
FDV56,OUT035,1722.3316111731856
FDT59,OUT046,4109.900606217616
FDB23,OUT046,3753.0000993630556
FDR49,OUT045,754.5960957264957
FDB03,OUT010,542.9755395973153
FDN39,OUT045,2811.181403212854
FDX02,OUT027,5669.163351428566
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1509.43231291866
NCT29,OUT013,1936.5082478260852
FDZ27,OUT046,754.5960957264957
FDN57,OUT017,2054.215706620209
FDA03,OUT018,2346.6487869387724
FDZ36,OUT045,3389.2269793548367
NCU05,OUT013,1333.2154270916328
FDT39,OUT018,2346.6487869387724
FDK60,OUT017,1554.007075641026
FDZ25,OUT017,2811.181403212854
FDG12,OUT046,2202.2990201117295
DRB01,OUT019,542.9755395973153
NCC43,OUT027,5669.163351428566
FDX13,OUT019,542.9755395973153
FDM22,OUT049,876.3205797979805
FDJ03,OUT027,1378.2631852760737
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,384.48867398374
FDP27,OUT046,3087.5075112820514
FDO38,OUT010,130.33349056603768
FDE28,OUT027,5669.163351428566
FDO27,OUT035,1554.007075641026
DRL23,OUT027,3175.335988157896
FDS28,OUT046,876.3205797979805
FDX24,OUT013,1467.1630529801325
FDZ02,OUT035,1554.007075641026
FDL46,OUT045,1874.430959859155
FDS60,OUT027,5669.163351428566
NCO06,OUT017,552.5502107784431
FDO16,OUT035,1467.1630529801325
FDC60,OUT049,1259.549051315789
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5669.163351428566
FDK27,OUT045,2202.2990201117295
FDW23,OUT018,637.5735090128758
FDM14,OUT018,1509.43231291866
FDM14,OUT013,1722.3316111731856
FDW60,OUT018,2736.9684298755183
FDE21,OUT013,1874.430959859155
NCM42,OUT035,1722.3316111731856
FDY59,OUT010,230.0085918128654
DRI49,OUT049,1259.549051315789
FDT28,OUT019,384.48867398374
FDQ22,OUT018,637.5735090128758
FDR60,OUT049,1259.549051315789
FDC50,OUT019,230.0085918128654
FDV24,OUT013,2346.6487869387724
DRF48,OUT010,542.9755395973153
FDQ47,OUT046,552.5502107784431
DRN36,OUT049,1509.43231291866
NCY06,OUT035,2054.215706620209
FDE52,OUT035,1333.2154270916328
NCB54,OUT045,2054.215706620209
NCF31,OUT035,2539.3942358778604
FDJ08,OUT027,5669.163351428566
NCC07,OUT017,1722.3316111731856
NCD19,OUT027,1378.2631852760737
FDL46,OUT049,1874.430959859155
FDM20,OUT045,4109.900606217616
NCI06,OUT010,384.48867398374
DRM11,OUT035,4311.57625131579
NCH07,OUT018,2346.6487869387724
FDS23,OUT013,1936.5082478260852
FDO49,OUT018,754.5960957264957
FDS35,OUT049,1103.1862133333332
DRK39,OUT045,1467.1630529801325
DRI39,OUT049,876.3205797979805
FDV04,OUT017,2384.0151261682245
NCN14,OUT035,2880.9695613636354
FDH08,OUT013,4109.900606217616
FDS20,OUT046,3389.2269793548367
FDV40,OUT049,1103.1862133333332
FDZ48,OUT010,230.0085918128654
FDS24,OUT027,2513.0798546666674
FDK44,OUT049,2997.407679041917
FDS48,OUT045,2539.3942358778604
FDK26,OUT010,542.9755395973153
FDD23,OUT045,3087.5075112820514
NCH54,OUT017,2811.181403212854
NCP14,OUT010,230.0085918128654
FDM60,OUT010,130.33349056603768
FDV24,OUT017,2384.0151261682245
